NOPOL,KDMBL,STATUS,MERK,TAHUN,UMUR,JENIS,DEPT
B9986FY,PWK602,P3AT,HINO,2009,17,ENGKEL,PERISHABLE - ROTI
B9693FY,PWK603,P3AT,HINO,2009,17,ENGKEL,PERISHABLE - ROTI
T8367AK,PWK112,P3AT,ISUZU,2016,10,ENGKEL,DELIVERY
T8578AQ,PWK664,AKTIF,MITSUBISHI,2025,1,DOUBLE,MRBREAD
B9870UW,PWK017,P3AT,HINO,2009,17,ENGKEL,DELIVERY
B9133FCA,PWK054,P3AT,HINO,2010,16,DOUBLE,DELIVERY
B9255FCA,PWK072,P3AT,HINO,2010,16,DOUBLE,DELIVERY
T8480AQ,PWK051,AKTIF,HINO,2025,1,DOUBLE,DELIVERY
B9132FCA,PWK074,P3AT,HINO,2010,16,DOUBLE,DELIVERY
B9520FCA,PWK607,P3AT,HINO,2010,16,ENGKEL,PERISHABLE - ROTI
T8481AQ,PWK080,AKTIF,HINO,2025,1,DOUBLE,DELIVERY
T8482AQ,PWK083,AKTIF,HINO,2025,1,DOUBLE,DELIVERY
T8597AQ,PWK171,AKTIF,MITSUBISHI,2025,1,DOUBLE,DELIVERY
T8520AQ,PWK438,AKTIF,MITSUBISHI,2025,1,L300,YUMMY CHOICE
T8519AQ,PWK437,AKTIF,MITSUBISHI,2025,1,L300,YUMMY CHOICE
T8550AQ,PWK168,AKTIF,HINO,2025,1,ENGKEL,DELIVERY
T8551AQ,PWK169,AKTIF,HINO,2025,1,ENGKEL,DELIVERY
T8552AQ,PWK170,AKTIF,HINO,2025,1,ENGKEL,DELIVERY
T8707AQ,PWK174,AKTIF,HINO,2025,1,DOUBLE,DELIVERY
T8610AQ,PWK172,AKTIF,HINO,2025,1,ENGKEL,DELIVERY
T8611AQ,PWK173,AKTIF,HINO,2025,1,ENGKEL,DELIVERY
T8696AQ,PWK633,AKTIF,HINO,2025,1,ENGKEL,PERISHABLE - ROTI
T8697AQ,PWK634,AKTIF,HINO,2025,1,ENGKEL,PERISHABLE - ROTI
T8698AQ,PWK635,AKTIF,HINO,2025,1,ENGKEL,PERISHABLE - ROTI
T8361AQ,PWK517,AKTIF,HINO,2024,2,DOUBLE,PERISHABLE - BUAH
T8360AQ,PWK440,AKTIF,HINO,2024,2,DOUBLE,YUMMY CHOICE
T8389AQ,PWK059,AKTIF,HINO,2024,2,DOUBLE,DELIVERY
T8397AQ,PWK057,AKTIF,HINO,2024,2,DOUBLE,DELIVERY
T8390AQ,PWK060,AKTIF,HINO,2024,2,DOUBLE,DELIVERY
T8395AQ,PWK062,AKTIF,HINO,2024,2,DOUBLE,DELIVERY
T8396AQ,PWK063,AKTIF,HINO,2024,2,DOUBLE,DELIVERY
T8403AQ,PWK068,AKTIF,HINO,2024,2,DOUBLE,DELIVERY
T8404AQ,PWK073,AKTIF,HINO,2024,2,DOUBLE,DELIVERY
T8405AQ,PWK078,AKTIF,HINO,2024,2,DOUBLE,DELIVERY
T8406AQ,PWK079,AKTIF,HINO,2024,2,DOUBLE,DELIVERY
T8179AQ,PWK055,AKTIF,HINO,2023,3,DOUBLE,DELIVERY
T8058AQ,PWK632,AKTIF,HINO,2023,3,ENGKEL,PERISHABLE - ROTI
T8069AQ,PWK513,AKTIF,HINO,2023,3,ENGKEL,PERISHABLE - BUAH
T8070AQ,PWK514,AKTIF,HINO,2023,3,ENGKEL,PERISHABLE - BUAH
E8104KX,PWK424,AKTIF,MITSUBISHI,2023,3,L300,YUMMY CHOICE
E8105KX,PWK425,AKTIF,MITSUBISHI,2023,3,L300,YUMMY CHOICE
E8110KX,PWK426,AKTIF,MITSUBISHI,2023,3,L300,YUMMY CHOICE
T8902AP,PWK070,AKTIF,HINO,2023,3,DOUBLE,DELIVERY
T8136AQ,PWK439,AKTIF,HINO,2023,3,ENGKEL,YUMMY CHOICE
T8735AP,PWK065,AKTIF,HINO,2022,4,DOUBLE,DELIVERY
T8736AP,PWK066,AKTIF,HINO,2022,4,DOUBLE,DELIVERY
T8737AP,PWK067,AKTIF,HINO,2022,4,DOUBLE,DELIVERY
T8926AP,PWK076,AKTIF,HINO,2022,4,DOUBLE,DELIVERY
T8924AP,PWK071,AKTIF,HINO,2022,4,DOUBLE,DELIVERY
T8876AP,PWK123,AKTIF,HINO,2022,4,ENGKEL,DELIVERY
T8878AP,PWK124,AKTIF,HINO,2022,4,ENGKEL,DELIVERY
T8865AP,PWK069,AKTIF,HINO,2022,4,DOUBLE,DELIVERY
T8879AP,PWK125,AKTIF,HINO,2022,4,ENGKEL,DELIVERY
T8923AP,PWK058,AKTIF,HINO,2022,4,DOUBLE,DELIVERY
T8927AP,PWK077,AKTIF,HINO,2022,4,DOUBLE,DELIVERY
T8925AP,PWK075,AKTIF,HINO,2022,4,DOUBLE,DELIVERY
T8911AP,PWK121,AKTIF,MITSUBISHI,2022,4,L300,DELIVERY
DD8630RZ,PWK422,AKTIF,HINO,2022,4,ENGKEL,YUMMY CHOICE
D8044FU,PWK427,AKTIF,MITSUBISHI,2022,4,L300,YUMMY CHOICE
T8150AP,PWK512,AKTIF,HINO,2021,5,ENGKEL,PERISHABLE - BUAH
T8149AP,PWK415,AKTIF,HINO,2021,5,ENGKEL,YUMMY CHOICE
T8252AP,PWK616,AKTIF,HINO,2021,5,ENGKEL,PERISHABLE - ROTI
T8056AP,PWK021,AKTIF,HINO,2021,5,ENGKEL,DELIVERY
T8652AN,PWK019,AKTIF,HINO,2021,5,ENGKEL,DELIVERY
T8251AP,PWK601,AKTIF,HINO,2021,5,ENGKEL,PERISHABLE - ROTI
T8653AN,PWK508,AKTIF,HINO,2021,5,ENGKEL,PERISHABLE - BUAH
T8061AN,PWK414,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
T8161AN,PWK417,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
T8679AM,PWK407,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
T8160AN,PWK416,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
T8151AN,PWK061,AKTIF,HINO,2019,7,DOUBLE,DELIVERY
T8150AN,PWK052,AKTIF,HINO,2019,7,DOUBLE,DELIVERY
T8062AN,PWK430,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
F8323HI,PWK435,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
F8317HI,PWK433,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
F8355HJ,PWK428,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
F8309HJ,PWK419,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
T8680AM,PWK405,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
T8678AM,PWK406,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
T8168AN,PWK418,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
T8059AN,PWK412,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
T8060AN,PWK413,AKTIF,MITSUBISHI,2019,7,L300,YUMMY CHOICE
T8040AN,PWK005,AKTIF,HINO,2018,8,ENGKEL,DELIVERY
T8045AN,PWK109,AKTIF,HINO,2018,8,ENGKEL,DELIVERY
T8792AL,PWK627,AKTIF,HINO,2018,8,ENGKEL,PERISHABLE - ROTI
T8042AN,PWK036,AKTIF,HINO,2018,8,ENGKEL,DELIVERY
T8794AL,PWK628,AKTIF,HINO,2018,8,ENGKEL,PERISHABLE - ROTI
T8796AL,PWK630,AKTIF,HINO,2018,8,ENGKEL,PERISHABLE - ROTI
T8795AL,PWK629,AKTIF,HINO,2018,8,ENGKEL,PERISHABLE - ROTI
T8797AL,PWK631,AKTIF,HINO,2018,8,ENGKEL,PERISHABLE - ROTI
T8043AN,PWK106,AKTIF,HINO,2018,8,ENGKEL,DELIVERY
T8041AN,PWK006,AKTIF,HINO,2018,8,ENGKEL,DELIVERY
T8656AM,PWK507,AKTIF,HINO,2018,8,ENGKEL,PERISHABLE - BUAH
B9659JZO,PWK436,AKTIF,HINO,2018,8,ENGKEL,YUMMY CHOICE
F8344GZ,PWK408,AKTIF,MITSUBISHI,2017,9,L300,YUMMY CHOICE
T8842AK,PWK120,AKTIF,MITSUBISHI,2017,9,L300,DELIVERY
T8896AK,PWK088,AKTIF,MITSUBISHI,2017,9,DOUBLE,DELIVERY
T8615AL,PWK626,AKTIF,HINO,2017,9,ENGKEL,PERISHABLE - ROTI
F8358GZ,PWK409,AKTIF,MITSUBISHI,2017,9,L300,YUMMY CHOICE
T8614AL,PWK622,AKTIF,HINO,2017,9,ENGKEL,PERISHABLE - ROTI
T8598AL,PWK504,AKTIF,HINO,2017,9,ENGKEL,PERISHABLE - BUAH
T8601AL,PWK621,AKTIF,HINO,2017,9,ENGKEL,PERISHABLE - ROTI
F8346GZ,PWK410,AKTIF,MITSUBISHI,2017,9,L300,YUMMY CHOICE
F8347GZ,PWK411,AKTIF,MITSUBISHI,2017,9,L300,YUMMY CHOICE
T8898AK,PWK090,AKTIF,MITSUBISHI,2017,9,DOUBLE,DELIVERY
T8897AK,PWK089,AKTIF,MITSUBISHI,2017,9,DOUBLE,DELIVERY
T8783AL,PWK028,AKTIF,MITSUBISHI,2017,9,L300,DELIVERY
T8611AL,PWK064,AKTIF,HINO,2017,9,DOUBLE,DELIVERY
T8599AL,PWK505,AKTIF,HINO,2017,9,ENGKEL,PERISHABLE - BUAH
T8623AL,PWK012,AKTIF,HINO,2017,9,ENGKEL,DELIVERY
T8625AL,PWK024,AKTIF,HINO,2017,9,ENGKEL,DELIVERY
T8933AK,PWK662,AKTIF,HINO,2017,9,DOUBLE,MRBREAD
T8934AK,PWK663,AKTIF,HINO,2017,9,DOUBLE,MRBREAD
T8624AL,PWK014,AKTIF,HINO,2017,9,ENGKEL,DELIVERY
T8394AK,PWK618,AKTIF,ISUZU,2016,10,ENGKEL,PERISHABLE - ROTI
T8349AK,PWK165,AKTIF,MITSUBISHI,2016,10,DOUBLE,DELIVERY
F8440GZ,PWK131,AKTIF,MITSUBISHI,2016,10,ENGKEL,DELIVERY
F8534GW,PWK133,AKTIF,HINO,2016,10,ENGKEL,DELIVERY
F8561GW,PWK132,AKTIF,HINO,2016,10,ENGKEL,DELIVERY
T8369AK,PWK114,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY
T8350AK,PWK166,AKTIF,MITSUBISHI,2016,10,DOUBLE,DELIVERY
T8365AK,PWK110,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY
B9865UCP,PWK404,AKTIF,MITSUBISHI,2016,10,L300,YUMMY CHOICE
T8395AK,PWK620,AKTIF,ISUZU,2016,10,ENGKEL,PERISHABLE - ROTI
F8570GW,PWK402,AKTIF,MITSUBISHI,2016,10,L300,YUMMY CHOICE
T8368AK,PWK113,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY
T8848AK,PWK119,AKTIF,MITSUBISHI,2016,10,ENGKEL,DELIVERY
T8846AK,PWK118,AKTIF,MITSUBISHI,2016,10,ENGKEL,DELIVERY
T8366AK,PWK111,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY
T8371AK,PWK115,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY
T8373AK,PWK117,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY
T8351AK,PWK167,AKTIF,MITSUBISHI,2016,10,DOUBLE,DELIVERY
T8372AK,PWK116,AKTIF,ISUZU,2016,10,ENGKEL,DELIVERY
T8203AK,PWK657,AKTIF,HINO,2015,11,DOUBLE,MRBREAD
T8205AK,PWK659,AKTIF,HINO,2015,11,DOUBLE,MRBREAD
T8207AK,PWK661,AKTIF,HINO,2015,11,DOUBLE,MRBREAD
T8582AJ,PWK653,AKTIF,HINO,2015,11,DOUBLE,MRBREAD
T8771AJ,PWK654,AKTIF,HINO,2015,11,DOUBLE,MRBREAD
T8204AK,PWK658,AKTIF,HINO,2015,11,DOUBLE,MRBREAD
B9203UCP,PWK401,AKTIF,MITSUBISHI,2015,11,L300,YUMMY CHOICE
T8773AJ,PWK655,AKTIF,HINO,2015,11,DOUBLE,MRBREAD
T8224AJ,PWK096,AKTIF,MITSUBISHI,2015,11,DOUBLE,DELIVERY
T8229AJ,PWK099,AKTIF,MITSUBISHI,2015,11,DOUBLE,DELIVERY
T8206AK,PWK660,AKTIF,HINO,2014,12,DOUBLE,MRBREAD
B9739FCC,PWK104,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9740FCC,PWK105,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9743FCC,PWK108,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9707FCC,PWK046,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9713FCC,PWK510,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - BUAH
F8756GP,PWK047,AKTIF,MITSUBISHI,2014,12,L300,DELIVERY
B9673FCC,PWK610,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI
F8403GM,PWK612,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI
D8969DM,PWK035,P3AT,HINO,2010,16,ENGKEL,DELIVERY
B9709FCC,PWK048,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
T8909AO,PWK092,AKTIF,HINO,2014,12,DOUBLE,DELIVERY
F8401GM,PWK614,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI
B9738FCC,PWK103,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9710FCC,PWK049,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9706FCC,PWK511,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - BUAH
B9711FCC,PWK050,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9712FCC,PWK101,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
D8869DH,PWK081,P3AT,HINO,2009,17,DOUBLE,DELIVERY
B9358FCD,PWK122,AKTIF,MITSUBISHI,2014,12,L300,DELIVERY
B9672FCC,PWK608,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI
B9714FCC,PWK102,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9742FCC,PWK107,AKTIF,HINO,2014,12,ENGKEL,DELIVERY
B9674FCC,PWK609,AKTIF,HINO,2014,12,ENGKEL,PERISHABLE - ROTI
E8045KN,PWK606,AKTIF,HINO,2013,13,DOUBLE,PERISHABLE - ROTI
F8655GK,PWK624,AKTIF,HINO,2013,13,ENGKEL,PERISHABLE - ROTI
B9519FCA,PWK605,P3AT,HINO,2010,16,ENGKEL,PERISHABLE - ROTI
D8853EE,PWK045,AKTIF,MITSUBISHI,2013,13,ENGKEL,DELIVERY
B9487FCC,PWK007,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
B9689FCC,PWK082,AKTIF,MITSUBISHI,2013,13,DOUBLE,DELIVERY
D8858EE,PWK509,AKTIF,MITSUBISHI,2013,13,DOUBLE,PERISHABLE - BUAH
D8840EE,PWK617,AKTIF,MITSUBISHI,2013,13,DOUBLE,PERISHABLE - ROTI
F8654GK,PWK625,AKTIF,HINO,2013,13,ENGKEL,PERISHABLE - ROTI
B9483FCC,PWK003,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
T8908AO,PWK093,AKTIF,HINO,2013,13,DOUBLE,DELIVERY
T8907AO,PWK095,AKTIF,HINO,2013,13,DOUBLE,DELIVERY
B9480FCC,PWK001,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
B9482FCC,PWK008,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
B9544FCC,PWK501,AKTIF,HINO,2013,13,ENGKEL,PERISHABLE - BUAH
B9481FCC,PWK002,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
B9518FCA,PWK604,P3AT,HINO,2010,16,ENGKEL,PERISHABLE - ROTI
B9484FCC,PWK004,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
B9543FCC,PWK502,AKTIF,HINO,2013,13,ENGKEL,PERISHABLE - BUAH
B9606FCC,PWK009,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
D8857EE,PWK044,AKTIF,MITSUBISHI,2013,13,ENGKEL,DELIVERY
B9607FCC,PWK010,AKTIF,HINO,2013,13,ENGKEL,DELIVERY
F8117MB,PWK506,AKTIF,HINO,2012,14,ENGKEL,PERISHABLE - BUAH
F8219GD,PWK623,AKTIF,HINO,2012,14,ENGKEL,PERISHABLE - ROTI
B9344FCB,PWK011,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
D8120EE,PWK039,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
D8117EE,PWK040,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
B9338FCB,PWK025,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
D8121EE,PWK037,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
D8122EE,PWK613,AKTIF,HINO,2012,14,ENGKEL,PERISHABLE - ROTI
D8062EA,PWK038,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
D8105EA,PWK041,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
D8106EA,PWK042,AKTIF,HINO,2012,14,ENGKEL,DELIVERY
T8506AO,PWK652,AKTIF,HINO,2011,15,DOUBLE,MRBREAD
T8425AO,PWK650,AKTIF,HINO,2011,15,DOUBLE,MRBREAD
T8426AO,PWK651,AKTIF,HINO,2011,15,DOUBLE,MRBREAD
B9258FCA,PWK056,AKTIF,HINO,2010,16,DOUBLE,DELIVERY
D8773DM,PWK085,AKTIF,HINO,2010,16,DOUBLE,DELIVERY
B9082FCA,PWK611,AKTIF,HINO,2009,17,ENGKEL,PERISHABLE - ROTI
B9652UY,PWK016,AKTIF,HINO,2009,17,ENGKEL,DELIVERY
B9919UF,PWK619,P3AT,HINO,2009,17,ENGKEL,PERISHABLE - ROTI
